game_id,name,difficulty,mechanism,bank_size,board_size,generator_params,AI_policy,rating_metric,observed_distribution,overlap,meaningfully_distinct,finding,fix
7,COUNTDOWN,NORMAL,6 cards; 2 large + 4 small,30,N/A; see generator_params,"{""division_required"":""NOT CONSTRAINED"",""large_cards"":{""max"":2,""median"":2.0,""min"":2},""minimum_cards_exhaustive"":{""max"":5,""median"":4.0,""min"":2},""minimum_cards_histogram"":{""2"":1,""3"":10,""4"":18,""5"":1},""one_card_puzzle_ids"":[],""target"":{""max"":801,""median"":238.0,""min"":106},""witness_card_count"":{""max"":6,""median"":5.0,""min"":3},""witness_division_count"":{""max"":2,""median"":0.0,""min"":0}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""division_required"":""NOT CONSTRAINED"",""large_cards"":{""max"":2,""median"":2.0,""min"":2},""minimum_cards_exhaustive"":{""max"":5,""median"":4.0,""min"":2},""minimum_cards_histogram"":{""2"":1,""3"":10,""4"":18,""5"":1},""one_card_puzzle_ids"":[],""target"":{""max"":801,""median"":238.0,""min"":106},""witness_card_count"":{""max"":6,""median"":5.0,""min"":3},""witness_division_count"":{""max"":2,""median"":0.0,""min"":0}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""HARD"":0,""MASTER"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: large-card composition differs; minimum-card distributions overlap and do not increase monotonically.,No demonstrated selector no-op; generation and legacy banks preserved
7,COUNTDOWN,HARD,6 cards; 3 large + 3 small,30,N/A; see generator_params,"{""division_required"":""NOT CONSTRAINED"",""large_cards"":{""max"":3,""median"":3.0,""min"":3},""minimum_cards_exhaustive"":{""max"":5,""median"":3.5,""min"":1},""minimum_cards_histogram"":{""1"":2,""2"":2,""3"":11,""4"":12,""5"":3},""one_card_puzzle_ids"":[60,71],""target"":{""max"":875,""median"":346.0,""min"":100},""witness_card_count"":{""max"":6,""median"":4.0,""min"":2},""witness_division_count"":{""max"":3,""median"":0.0,""min"":0}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""division_required"":""NOT CONSTRAINED"",""large_cards"":{""max"":3,""median"":3.0,""min"":3},""minimum_cards_exhaustive"":{""max"":5,""median"":3.5,""min"":1},""minimum_cards_histogram"":{""1"":2,""2"":2,""3"":11,""4"":12,""5"":3},""one_card_puzzle_ids"":[60,71],""target"":{""max"":875,""median"":346.0,""min"":100},""witness_card_count"":{""max"":6,""median"":4.0,""min"":2},""witness_division_count"":{""max"":3,""median"":0.0,""min"":0}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: large-card composition differs; minimum-card distributions overlap and do not increase monotonically. HARD puzzle60 and71 are solved by one card100; saved-bank compatibility prevents in-place replacement.,No demonstrated selector no-op; generation and legacy banks preserved
7,COUNTDOWN,MASTER,6 cards; 3 large + 3 small; every exact solution uses all six and division,30,N/A; see generator_params,"{""division_required"":true,""large_cards"":{""max"":3,""median"":3.0,""min"":3},""minimum_cards_exhaustive"":{""max"":6,""median"":6.0,""min"":6},""minimum_cards_histogram"":{""6"":30},""one_card_puzzle_ids"":[],""target"":{""max"":999,""median"":768.0,""min"":137},""witness_card_count"":{""max"":6,""median"":6.0,""min"":6},""witness_division_count"":{""max"":2,""median"":1.0,""min"":1}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""division_required"":true,""large_cards"":{""max"":3,""median"":3.0,""min"":3},""minimum_cards_exhaustive"":{""max"":6,""median"":6.0,""min"":6},""minimum_cards_histogram"":{""6"":30},""one_card_puzzle_ids"":[],""target"":{""max"":999,""median"":768.0,""min"":137},""witness_card_count"":{""max"":6,""median"":6.0,""min"":6},""witness_division_count"":{""max"":2,""median"":1.0,""min"":1}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""HARD"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
8,MISSING OPERATORS,EASY,3 numbers; witness + - *; all four operators accepted,0,N/A; see generator_params,"{""fallback"":""128 attempts then fixed plus-only puzzle"",""fallback_observed"":""not instrumented; not inferred from absence"",""numbers"":3,""operator_assignments_per_puzzle"":16,""operator_kinds_per_solution"":{""max"":2,""median"":2.0,""min"":1},""solution_count_exhaustive"":{""max"":4,""median"":1.0,""min"":1}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""fallback"":""128 attempts then fixed plus-only puzzle"",""fallback_observed"":""not instrumented; not inferred from absence"",""numbers"":3,""operator_assignments_per_puzzle"":16,""operator_kinds_per_solution"":{""max"":2,""median"":2.0,""min"":1},""solution_count_exhaustive"":{""max"":4,""median"":1.0,""min"":1}},""modes"":1,""unique"":251,""unique_bank"":null,""validated_initializations"":256}","{""counts"":{""HARD"":0,""MASTER"":0,""NORMAL"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
8,MISSING OPERATORS,NORMAL,4 numbers; witness + - * /,0,N/A; see generator_params,"{""fallback"":""128 attempts then fixed plus-only puzzle"",""fallback_observed"":""not instrumented; not inferred from absence"",""numbers"":4,""operator_assignments_per_puzzle"":64,""operator_kinds_per_solution"":{""max"":3,""median"":2,""min"":1},""solution_count_exhaustive"":{""max"":10,""median"":1.0,""min"":1}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""fallback"":""128 attempts then fixed plus-only puzzle"",""fallback_observed"":""not instrumented; not inferred from absence"",""numbers"":4,""operator_assignments_per_puzzle"":64,""operator_kinds_per_solution"":{""max"":3,""median"":2,""min"":1},""solution_count_exhaustive"":{""max"":10,""median"":1.0,""min"":1}},""modes"":1,""unique"":256,""unique_bank"":null,""validated_initializations"":256}","{""counts"":{""EASY"":0,""HARD"":0,""MASTER"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
8,MISSING OPERATORS,HARD,5 numbers; witness + - * /,0,N/A; see generator_params,"{""fallback"":""128 attempts then fixed plus-only puzzle"",""fallback_observed"":""not instrumented; not inferred from absence"",""numbers"":5,""operator_assignments_per_puzzle"":256,""operator_kinds_per_solution"":{""max"":4,""median"":3,""min"":1},""solution_count_exhaustive"":{""max"":21,""median"":3.0,""min"":1}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""fallback"":""128 attempts then fixed plus-only puzzle"",""fallback_observed"":""not instrumented; not inferred from absence"",""numbers"":5,""operator_assignments_per_puzzle"":256,""operator_kinds_per_solution"":{""max"":4,""median"":3,""min"":1},""solution_count_exhaustive"":{""max"":21,""median"":3.0,""min"":1}},""modes"":1,""unique"":256,""unique_bank"":null,""validated_initializations"":256}","{""counts"":{""EASY"":0,""MASTER"":0,""NORMAL"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
8,MISSING OPERATORS,MASTER,6 numbers; 1..3 solutions; every solution uses at least 3 operator kinds,30,N/A; see generator_params,"{""fallback"":""none; bank-backed"",""fallback_observed"":""not applicable"",""numbers"":6,""operator_assignments_per_puzzle"":1024,""operator_kinds_per_solution"":{""max"":4,""median"":3,""min"":3},""solution_count_exhaustive"":{""max"":3,""median"":1.0,""min"":1}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""fallback"":""none; bank-backed"",""fallback_observed"":""not applicable"",""numbers"":6,""operator_assignments_per_puzzle"":1024,""operator_kinds_per_solution"":{""max"":4,""median"":3,""min"":3},""solution_count_exhaustive"":{""max"":3,""median"":1.0,""min"":1}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""HARD"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
9,CROSS MATH,EASY,3×3; four fixed numbers,30,3x3,"{""column_only_all_different_boards"":{""max"":6,""median"":2.0,""min"":1},""givens"":{""max"":4,""median"":4.0,""min"":4},""minimum_axis_candidates"":{""max"":4,""median"":2.0,""min"":1},""row_only_all_different_boards"":{""max"":6,""median"":2.0,""min"":1}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""column_only_all_different_boards"":{""max"":6,""median"":2.0,""min"":1},""givens"":{""max"":4,""median"":4.0,""min"":4},""minimum_axis_candidates"":{""max"":4,""median"":2.0,""min"":1},""row_only_all_different_boards"":{""max"":6,""median"":2.0,""min"":1}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""HARD"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
9,CROSS MATH,NORMAL,3×3; two fixed numbers,30,3x3,"{""column_only_all_different_boards"":{""max"":32,""median"":7.0,""min"":2},""givens"":{""max"":2,""median"":2.0,""min"":2},""minimum_axis_candidates"":{""max"":12,""median"":4.0,""min"":2},""row_only_all_different_boards"":{""max"":16,""median"":4.0,""min"":2}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""column_only_all_different_boards"":{""max"":32,""median"":7.0,""min"":2},""givens"":{""max"":2,""median"":2.0,""min"":2},""minimum_axis_candidates"":{""max"":12,""median"":4.0,""min"":2},""row_only_all_different_boards"":{""max"":16,""median"":4.0,""min"":2}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""HARD"":0,""MASTER"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
9,CROSS MATH,HARD,3×3; no fixed numbers,30,3x3,"{""column_only_all_different_boards"":{""max"":288,""median"":24.0,""min"":8},""givens"":{""max"":0,""median"":0.0,""min"":0},""minimum_axis_candidates"":{""max"":168,""median"":20.0,""min"":8},""row_only_all_different_boards"":{""max"":576,""median"":24.0,""min"":8}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""column_only_all_different_boards"":{""max"":288,""median"":24.0,""min"":8},""givens"":{""max"":0,""median"":0.0,""min"":0},""minimum_axis_candidates"":{""max"":168,""median"":20.0,""min"":8},""row_only_all_different_boards"":{""max"":576,""median"":24.0,""min"":8}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
9,CROSS MATH,MASTER,3×3; no fixed numbers; row-only and column-only candidates both exceed old HARD min-axis maximum,30,3x3,"{""column_only_all_different_boards"":{""max"":648,""median"":216.0,""min"":176},""givens"":{""max"":0,""median"":0.0,""min"":0},""minimum_axis_candidates"":{""max"":216,""median"":216.0,""min"":176},""row_only_all_different_boards"":{""max"":432,""median"":216.0,""min"":176}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""column_only_all_different_boards"":{""max"":648,""median"":216.0,""min"":176},""givens"":{""max"":0,""median"":0.0,""min"":0},""minimum_axis_candidates"":{""max"":216,""median"":216.0,""min"":176},""row_only_all_different_boards"":{""max"":432,""median"":216.0,""min"":176}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""HARD"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
10,PRIME FACTOR,EASY,"2..4 prime draws from 2,3,5,7",0,N/A; see generator_params,"{""distinct_primes"":{""max"":4,""median"":2.0,""min"":1},""largest_prime"":{""max"":7,""median"":7.0,""min"":2},""mathematical_shape_domain"":65,""multiplicity"":{""max"":4,""median"":2.0,""min"":2},""shape_domain_overlap"":{""HARD"":35,""MASTER"":0,""NORMAL"":55},""shape_vs_rng"":""admissible mathematical shapes; no exhaustive PRNG reachability proof"",""target"":{""max"":1715,""median"":24.0,""min"":4}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""distinct_primes"":{""max"":4,""median"":2.0,""min"":1},""largest_prime"":{""max"":7,""median"":7.0,""min"":2},""mathematical_shape_domain"":65,""multiplicity"":{""max"":4,""median"":2.0,""min"":2},""shape_domain_overlap"":{""HARD"":35,""MASTER"":0,""NORMAL"":55},""shape_vs_rng"":""admissible mathematical shapes; no exhaustive PRNG reachability proof"",""target"":{""max"":1715,""median"":24.0,""min"":4}},""modes"":1,""unique"":50,""unique_bank"":null,""validated_initializations"":256}","{""counts"":{""HARD"":3,""MASTER"":0,""NORMAL"":21},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: numeric target domains overlap; MASTER shape domain90 is a subset of HARD shape domain and uses smaller primes.,No demonstrated selector no-op; generation and legacy banks preserved
10,PRIME FACTOR,NORMAL,3..5 prime draws from primes through 13,0,N/A; see generator_params,"{""distinct_primes"":{""max"":5,""median"":3.0,""min"":1},""largest_prime"":{""max"":13,""median"":13.0,""min"":3},""mathematical_shape_domain"":434,""multiplicity"":{""max"":5,""median"":3.0,""min"":3},""shape_domain_overlap"":{""EASY"":55,""HARD"":378,""MASTER"":0},""shape_vs_rng"":""admissible mathematical shapes; no exhaustive PRNG reachability proof"",""target"":{""max"":314171,""median"":455.0,""min"":12}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""distinct_primes"":{""max"":5,""median"":3.0,""min"":1},""largest_prime"":{""max"":13,""median"":13.0,""min"":3},""mathematical_shape_domain"":434,""multiplicity"":{""max"":5,""median"":3.0,""min"":3},""shape_domain_overlap"":{""EASY"":55,""HARD"":378,""MASTER"":0},""shape_vs_rng"":""admissible mathematical shapes; no exhaustive PRNG reachability proof"",""target"":{""max"":314171,""median"":455.0,""min"":12}},""modes"":1,""unique"":138,""unique_bank"":null,""validated_initializations"":256}","{""counts"":{""EASY"":21,""HARD"":3,""MASTER"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: numeric target domains overlap; MASTER shape domain90 is a subset of HARD shape domain and uses smaller primes.,No demonstrated selector no-op; generation and legacy banks preserved
10,PRIME FACTOR,HARD,4..6 prime draws through 31; multiplication over 1e6 skipped,0,N/A; see generator_params,"{""distinct_primes"":{""max"":6,""median"":4.0,""min"":2},""largest_prime"":{""max"":31,""median"":29.0,""min"":5},""mathematical_shape_domain"":6754,""multiplicity"":{""max"":6,""median"":4.0,""min"":4},""shape_domain_overlap"":{""EASY"":35,""MASTER"":90,""NORMAL"":378},""shape_vs_rng"":""admissible mathematical shapes; no exhaustive PRNG reachability proof"",""target"":{""max"":981274,""median"":45733.0,""min"":90}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""distinct_primes"":{""max"":6,""median"":4.0,""min"":2},""largest_prime"":{""max"":31,""median"":29.0,""min"":5},""mathematical_shape_domain"":6754,""multiplicity"":{""max"":6,""median"":4.0,""min"":4},""shape_domain_overlap"":{""EASY"":35,""MASTER"":90,""NORMAL"":378},""shape_vs_rng"":""admissible mathematical shapes; no exhaustive PRNG reachability proof"",""target"":{""max"":981274,""median"":45733.0,""min"":90}},""modes"":1,""unique"":235,""unique_bank"":null,""validated_initializations"":256}","{""counts"":{""EASY"":3,""MASTER"":0,""NORMAL"":3},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: numeric target domains overlap; MASTER shape domain90 is a subset of HARD shape domain and uses smaller primes.,No demonstrated selector no-op; generation and legacy banks preserved
10,PRIME FACTOR,MASTER,four distinct primes through 13; exactly two squared; six factors counting multiplicity,0,N/A; see generator_params,"{""distinct_primes"":{""max"":4,""median"":4.0,""min"":4},""largest_prime"":{""max"":13,""median"":13.0,""min"":7},""mathematical_shape_domain"":90,""multiplicity"":{""max"":6,""median"":6.0,""min"":6},""shape_domain_overlap"":{""EASY"":0,""HARD"":90,""NORMAL"":0},""shape_vs_rng"":""admissible mathematical shapes; no exhaustive PRNG reachability proof"",""target"":{""max"":715715,""median"":28028.0,""min"":1260}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""distinct_primes"":{""max"":4,""median"":4.0,""min"":4},""largest_prime"":{""max"":13,""median"":13.0,""min"":7},""mathematical_shape_domain"":90,""multiplicity"":{""max"":6,""median"":6.0,""min"":6},""shape_domain_overlap"":{""EASY"":0,""HARD"":90,""NORMAL"":0},""shape_vs_rng"":""admissible mathematical shapes; no exhaustive PRNG reachability proof"",""target"":{""max"":715715,""median"":28028.0,""min"":1260}},""modes"":1,""unique"":80,""unique_bank"":null,""validated_initializations"":256}","{""counts"":{""EASY"":0,""HARD"":0,""NORMAL"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human ordering REVIEW REQUIRED,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: numeric target domains overlap; MASTER shape domain90 is a subset of HARD shape domain and uses smaller primes.,No demonstrated selector no-op; generation and legacy banks preserved
11,SUDOKU,EASY,9x9 box/row/column constraints; clue density and inference/search bands,50,"{'min': 9, 'median': 9.0, 'max': 9}","{'givens': {'min': 43, 'median': 43.0, 'max': 43}}",N/A,public-clue propagation and bounded search; algorithm-specific counts,"{'order': {'min': 9, 'median': 9.0, 'max': 9}, 'cells': {'min': 81, 'median': 81.0, 'max': 81}, 'givens': {'min': 43, 'median': 43.0, 'max': 43}, 'solution_count': {'min': 1, 'median': 1.0, 'max': 1}, 'search_nodes': {'min': 1, 'median': 1.0, 'max': 1}, 'search_branches': {'min': 0, 'median': 0.0, 'max': 0}, 'search_max_depth': {'min': 0, 'median': 0.0, 'max': 0}, 'basic_unfilled': {'min': 0, 'median': 0.0, 'max': 0}, 'advanced_unfilled': {'min': 0, 'median': 0.0, 'max': 0}, 'after_chains_unfilled': {'min': 0, 'median': 0.0, 'max': 0}, 'forcing_eliminations': {'min': 0, 'median': 0.0, 'max': 0}, 'forcing_probes': {'min': 0, 'median': 0.0, 'max': 0}}","{'with_other_levels': [{'difficulty': 'NORMAL', 'exact': 0, 'canonical': 0}, {'difficulty': 'HARD', 'exact': 0, 'canonical': 0}, {'difficulty': 'MASTER', 'exact': 0, 'canonical': 0}, {'difficulty': 'HELL', 'exact': 0, 'canonical': 0}], 'search_range_overlaps_previous': None}",YES: structural/inference band; provisional human ranking,"Structural/inference parameters differ; human difficulty remains provisional. Every sample finishes by basic propagation; its distinction is structural or arithmetic, not a need for advanced inference.",None; evidence/caveats documented
11,SUDOKU,NORMAL,9x9 box/row/column constraints; clue density and inference/search bands,50,"{'min': 9, 'median': 9.0, 'max': 9}","{'givens': {'min': 34, 'median': 34.0, 'max': 34}}",N/A,public-clue propagation and bounded search; algorithm-specific counts,"{'order': {'min': 9, 'median': 9.0, 'max': 9}, 'cells': {'min': 81, 'median': 81.0, 'max': 81}, 'givens': {'min': 34, 'median': 34.0, 'max': 34}, 'solution_count': {'min': 1, 'median': 1.0, 'max': 1}, 'search_nodes': {'min': 1, 'median': 1.0, 'max': 3}, 'search_branches': {'min': 0, 'median': 0.0, 'max': 1}, 'search_max_depth': {'min': 0, 'median': 0.0, 'max': 1}, 'basic_unfilled': {'min': 0, 'median': 0.0, 'max': 19}, 'advanced_unfilled': {'min': 0, 'median': 0.0, 'max': 19}, 'after_chains_unfilled': {'min': 0, 'median': 0.0, 'max': 0}, 'forcing_eliminations': {'min': 0, 'median': 0.0, 'max': 1}, 'forcing_probes': {'min': 0, 'median': 0.0, 'max': 1}}","{'with_other_levels': [{'difficulty': 'EASY', 'exact': 0, 'canonical': 0}, {'difficulty': 'HARD', 'exact': 0, 'canonical': 0}, {'difficulty': 'MASTER', 'exact': 0, 'canonical': 0}, {'difficulty': 'HELL', 'exact': 0, 'canonical': 0}], 'search_range_overlaps_previous': True}",YES: structural/inference band; provisional human ranking,Structural/inference parameters differ; human difficulty remains provisional. Search-node ranges overlap the previous level; no per-puzzle strict ranking claimed.,None; evidence/caveats documented
11,SUDOKU,HARD,9x9 box/row/column constraints; clue density and inference/search bands,50,"{'min': 9, 'median': 9.0, 'max': 9}","{'givens': {'min': 27, 'median': 27.0, 'max': 27}}",N/A,public-clue propagation and bounded search; algorithm-specific counts,"{'order': {'min': 9, 'median': 9.0, 'max': 9}, 'cells': {'min': 81, 'median': 81.0, 'max': 81}, 'givens': {'min': 27, 'median': 27.0, 'max': 27}, 'solution_count': {'min': 1, 'median': 1.0, 'max': 1}, 'search_nodes': {'min': 1, 'median': 1.0, 'max': 7}, 'search_branches': {'min': 0, 'median': 0.0, 'max': 3}, 'search_max_depth': {'min': 0, 'median': 0.0, 'max': 3}, 'basic_unfilled': {'min': 0, 'median': 0.0, 'max': 47}, 'advanced_unfilled': {'min': 0, 'median': 0.0, 'max': 47}, 'after_chains_unfilled': {'min': 0, 'median': 0.0, 'max': 0}, 'forcing_eliminations': {'min': 0, 'median': 0.0, 'max': 3}, 'forcing_probes': {'min': 0, 'median': 0.0, 'max': 5}}","{'with_other_levels': [{'difficulty': 'EASY', 'exact': 0, 'canonical': 0}, {'difficulty': 'NORMAL', 'exact': 0, 'canonical': 0}, {'difficulty': 'MASTER', 'exact': 0, 'canonical': 0}, {'difficulty': 'HELL', 'exact': 0, 'canonical': 0}], 'search_range_overlaps_previous': True}",YES: structural/inference band; provisional human ranking,Structural/inference parameters differ; human difficulty remains provisional. Search-node ranges overlap the previous level; no per-puzzle strict ranking claimed.,None; evidence/caveats documented
11,SUDOKU,MASTER,9x9 box/row/column constraints; clue density and inference/search bands,50,"{'min': 9, 'median': 9.0, 'max': 9}","{'givens': {'min': 22, 'median': 25.0, 'max': 28}}",N/A,public-clue propagation and bounded search; algorithm-specific counts,"{'order': {'min': 9, 'median': 9.0, 'max': 9}, 'cells': {'min': 81, 'median': 81.0, 'max': 81}, 'givens': {'min': 22, 'median': 25.0, 'max': 28}, 'solution_count': {'min': 1, 'median': 1.0, 'max': 1}, 'search_nodes': {'min': 9, 'median': 11.0, 'max': 17}, 'search_branches': {'min': 4, 'median': 5.0, 'max': 8}, 'search_max_depth': {'min': 3, 'median': 4.0, 'max': 7}, 'basic_unfilled': {'min': 25, 'median': 44.0, 'max': 54}, 'advanced_unfilled': {'min': 25, 'median': 43.0, 'max': 51}, 'after_chains_unfilled': {'min': 0, 'median': 0.0, 'max': 0}, 'forcing_eliminations': {'min': 1, 'median': 3.0, 'max': 10}, 'forcing_probes': {'min': 3, 'median': 8.0, 'max': 33}}","{'with_other_levels': [{'difficulty': 'EASY', 'exact': 0, 'canonical': 0}, {'difficulty': 'NORMAL', 'exact': 0, 'canonical': 0}, {'difficulty': 'HARD', 'exact': 0, 'canonical': 0}, {'difficulty': 'HELL', 'exact': 0, 'canonical': 0}], 'search_range_overlaps_previous': False}",YES: structural/inference band; provisional human ranking,Structural/inference parameters differ; human difficulty remains provisional.,None; evidence/caveats documented
11,SUDOKU,HELL,9x9 box/row/column constraints; clue density and inference/search bands,30,"{'min': 9, 'median': 9.0, 'max': 9}","{'givens': {'min': 22, 'median': 24.0, 'max': 28}}",N/A,public-clue propagation and bounded search; algorithm-specific counts,"{'order': {'min': 9, 'median': 9.0, 'max': 9}, 'cells': {'min': 81, 'median': 81.0, 'max': 81}, 'givens': {'min': 22, 'median': 24.0, 'max': 28}, 'solution_count': {'min': 1, 'median': 1.0, 'max': 1}, 'search_nodes': {'min': 19, 'median': 23.0, 'max': 69}, 'search_branches': {'min': 9, 'median': 11.0, 'max': 34}, 'search_max_depth': {'min': 5, 'median': 6.0, 'max': 11}, 'basic_unfilled': {'min': 44, 'median': 48.5, 'max': 56}, 'advanced_unfilled': {'min': 43, 'median': 48.0, 'max': 56}, 'after_chains_unfilled': {'min': 0, 'median': 0.0, 'max': 0}, 'forcing_eliminations': {'min': 5, 'median': 7.0, 'max': 11}, 'forcing_probes': {'min': 13, 'median': 35.0, 'max': 185}}","{'with_other_levels': [{'difficulty': 'EASY', 'exact': 0, 'canonical': 0}, {'difficulty': 'NORMAL', 'exact': 0, 'canonical': 0}, {'difficulty': 'HARD', 'exact': 0, 'canonical': 0}, {'difficulty': 'MASTER', 'exact': 0, 'canonical': 0}], 'search_range_overlaps_previous': False}",YES: structural/inference band; provisional human ranking,Structural/inference parameters differ; human difficulty remains provisional.,None; evidence/caveats documented
12,CALCUDOKU,EASY,"Latin order, connected arithmetic cages and inference/search bands",50,"{'min': 4, 'median': 4.0, 'max': 4}","{'givens': {'min': 0, 'median': 2.0, 'max': 4}, 'cages': {'min': 6, 'median': 7.5, 'max': 10}, 'fixed_cages': {'min': 0, 'median': 2.0, 'max': 4}}",N/A,public-clue propagation and bounded search; algorithm-specific counts,"{'order': {'min': 4, 'median': 4.0, 'max': 4}, 'cells': {'min': 16, 'median': 16.0, 'max': 16}, 'givens': {'min': 0, 'median': 2.0, 'max': 4}, 'cages': {'min': 6, 'median': 7.5, 'max': 10}, 'fixed_cages': {'min': 0, 'median': 2.0, 'max': 4}, 'solution_count': {'min': 1, 'median': 1.0, 'max': 1}, 'search_nodes': {'min': 1, 'median': 1.0, 'max': 3}, 'search_branches': {'min': 0, 'median': 0.0, 'max': 1}, 'search_max_depth': {'min': 0, 'median': 0.0, 'max': 1}, 'basic_unfilled': {'min': 0, 'median': 0.0, 'max': 15}, 'advanced_unfilled': {'min': 0, 'median': 0.0, 'max': 13}, 'after_chains_unfilled': {'min': 0, 'median': 0.0, 'max': 0}, 'forcing_eliminations': {'min': 0, 'median': 0.0, 'max': 1}, 'forcing_probes': {'min': 0, 'median': 0.0, 'max': 1}}","{'with_other_levels': [{'difficulty': 'NORMAL', 'exact': 0, 'canonical': 0}, {'difficulty': 'HARD', 'exact': 0, 'canonical': 0}, {'difficulty': 'MASTER', 'exact': 0, 'canonical': 0}, {'difficulty': 'HELL', 'exact': 0, 'canonical': 0}], 'search_range_overlaps_previous': None}",YES: structural/inference band; provisional human ranking,Structural/inference parameters differ; human difficulty remains provisional.,None; evidence/caveats documented
